医療法人光明会 もりあきクリニック,大阪府箕面市船場西3-8-11,大阪府,杉町 勝,慢性疼痛に対する自己脂肪由来幹細胞による治療,日本医理工連携 特定認定再生医療等委員会,全身 (神経/皮膚/血液/筋肉/骨/リンパ/など),自分の細胞を用いる治療,治療
スキンクリニック山本皮フ科,愛知県豊橋市平川本町1-2-11,愛知県,院長　山本 崇弘,PRP(多血小板血漿Platelet Rich Plasma)を用いた育毛を目的とした再生医療,特定非営利活動法人　皮膚の健康研究機構認定再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
医療法人育侑会　花野歯科,大阪府枚方市山之上4-2-3,大阪府,花野育子,観血処置を伴う歯科治療に対する補助療法としての自己多血小板血漿療法(PRP療法),大阪大学第一特定認定再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
医療法人社団光駿会　講道館ビル歯科・口腔外科,東京都文京区春日1丁目16番30号 講道館ビル本館7階,東京都,髙橋　雄三,自家多血小板血漿を用いた顎・口腔組織の再生医療,セレンクリニック認定再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
東京審美会３０６デンタルクリニック,東京都墨田区立花５－２－４　 キャッスルマンション亀戸立花１Ｆ,東京都,院長　中田　圭祐,PRF（自家多血小板フィブリン）を用いた口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
板東歯科医院　南昭和オフィス,徳島県徳島市南昭和町3-50-1,徳島県,院長　板東　伸幸,自己血由来成分CGFを利用した口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
いがらし歯科医院,栃木県宇都宮市下岡本町4552-14,栃木県,院長　五十嵐　三彦,自己血由来成分CGFを利用した口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
江良歯科医院,山形県山形市落合町字二口203-1,山形県,院長　江良 謙次,自家多血小板フィブリン（PRF：Platelet Rich Fibrin）を利用した口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
江川歯科医院,東京都大田区西蒲田7-6-8,東京都,院長　陳　賢群,自己血由来血小板を利用した口腔内の骨及び軟組織の再生医療,東京形成歯科研究会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
医療法人高橋歯科医院,岩手県盛岡市大通1-2-1 岩手県産業会館（サンビル）別館2F,岩手県,院長　高橋　秀典,自家血小板含有フィブリンゲル（CGF：concentrated growth factors）を利用した口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
